Year,Number of Patents,Region
1993,1,china
1994,0,china
1995,0,china
1996,0,china
1997,1,china
1998,1,china
1999,0,china
2000,0,china
2001,0,china
2002,1,china
2003,38,china
2004,79,china
2005,128,china
2006,67,china
2007,57,china
2008,23,china
2009,33,china
2010,86,china
2011,73,china
2012,82,china
2013,73,china
2014,117,china
2015,140,china
2016,195,china
2017,262,china
2018,409,china
2019,612,china
1993,1,Foreign
1994,0,Foreign
1995,0,Foreign
1996,0,Foreign
1997,1,Foreign
1998,2,Foreign
1999,4,Foreign
2000,0,Foreign
2001,5,Foreign
2002,3,Foreign
2003,6,Foreign
2004,13,Foreign
2005,8,Foreign
2006,37,Foreign
2007,44,Foreign
2008,30,Foreign
2009,25,Foreign
2010,29,Foreign
2011,40,Foreign
2012,36,Foreign
2013,49,Foreign
2014,48,Foreign
2015,44,Foreign
2016,57,Foreign
2017,42,Foreign
2018,59,Foreign
2019,58,Foreign
